user_id,month,plan,base_price,discount_pct,payment_failed,revenue
U1695,Dec-2025,STANDARD,499.0,0.0,False,499.0
U1413,2025-08,Premium,999.0,,False,999.0
U1919,2025-09,Basic,199.0,0.0,No,199.0
U2188,01/01/2026,BASIC,199.0,0.0,No,199.0
U1350,09/01/2025,Basic,199.0,0.0,False,199.0
U2415,2025-08, Standard ,499.0,0.0,No,499.0
U1500,12/01/2025,STANDARD,499.0,0.0,True,0.0
U1304,2026-01,Premium,999.0,0.0,No,999.0
U2336,Sep-2025,standard,499.0,0.0,FALSE,499.0
U2073,Sep-2025, PREMIUM,999.0,0.0,0,999.0
U1291,Oct-2025,Basic,199.0,0.0,TRUE,0.0
U1504,2026-01,Premium,999.0,10.0,TRUE,0.0
U2334,2025-08,STANDARD,499.0,0.0,No,499.0
U1909,10/01/2025, Standard ,499.0,0.0,No,499.0
U1638,2025-08,STANDARD,499.0,0.0,0,499.0
U2268,Jan-2026,Premium,999.0,0.0,No,999.0
U2389,2025-09,Basic,199.0,0.0,0,
U1700,Jan-2026, Standard ,499.0,10.0,No,449.1
U2416,Sep-2025,Standard,499.0,0.0,False,499.0
U1951,Nov-2025,Basic,199.0,0.0,False,199.0
U1731,12/01/2025,standard,499.0,0.0,FALSE,499.0
U2320,01/01/2026,basic ,199.0,0.0,Yes,0.0
U1105,11/01/2025,Standard,499.0,0.0,No,499.0
U1772,2025-09,Standard,499.0,0.0,No,499.0
 U1889 ,09/01/2025,standard,499.0,0.0,0,499.0
U2170,2025-08,Premium,999.0,0.0,FALSE,999.0
U1408,09/01/2025,standard,499.0,0.0,No,499.0
U1119,2025-11,premium ,999.0,0.0,No,999.0
U2332,2026-01,STANDARD,499.0,0.0,No,499.0
U1847,12/01/2025,Standard,499.0,0.0,False,499.0
U2181,2025-12,Basic,199.0,0.0,0,199.0
U1561,Oct-2025,Standard,499.0,,0,349.3
U1611,Oct-2025,Basic,199.0,0.0,FALSE,199.0
U2168,2025-08,premium ,999.0,0.0,0,999.0
U2092,2025-10,basic ,199.0,0.0,0,199.0
U1082,Aug-2025,Standard,499.0,0.0,No,499.0
U2095,Sep-2025,basic ,199.0,0.0,False,199.0
U2484,12/01/2025,Standard,499.0,0.0,False,499.0
U1991,2025-08, PREMIUM,999.0,0.0,No,999.0
U1252,2025-11,Premium,999.0,0.0,No,999.0
U1628,Oct-2025,STANDARD,499.0,,No,449.1
U1768,Dec-2025,standard,499.0,0.0,FALSE,499.0
U2388,2025-11,Premium,999.0,0.0,False,999.0
U2476,2025-10,basic ,199.0,0.0,False,199.0
U1546,2025-10,BASIC,199.0,0.0,FALSE,199.0
U1864,2025-10,Premium,999.0,0.0,No,999.0
U1324,11/01/2025,Premium,999.0,0.0,False,999.0
U1158,Nov-2025,Premium,999.0,0.0,FALSE,999.0
U1681,11/01/2025,premium ,999.0,0.0,No,999.0
U1299,Dec-2025,BASIC,199.0,0.0,False,199.0
U1180,2025-12,Basic,199.0,10.0,0,179.1
U1297,11/01/2025,Premium,999.0,20.0,False,799.2
U1948,12/01/2025,Basic,199.0,0.0,False,199.0
U1752,2026-01, Standard ,499.0,30.0,FALSE,349.3
U2193,Jan-2026,premium ,999.0,30.0,0,699.3
U1501,09/01/2025,Premium,999.0,0.0,0,999.0
U2369,2025-10,Basic,199.0,0.0,0,199.0
U1385,Aug-2025,Premium,999.0,0.0,No,999.0
U1375,2025-10,Premium,999.0,0.0,FALSE,999.0
U1757,09/01/2025,Standard,499.0,0.0,FALSE,499.0
U1816,Dec-2025,basic ,199.0,,No,179.1
U1111,2025-12,premium ,999.0,0.0,0,999.0
U1470,12/01/2025, Standard ,499.0,0.0,False,
U1420,11/01/2025,STANDARD,499.0,20.0,TRUE,0.0
U1142,2026-01,Premium,999.0,0.0,FALSE,999.0
U1863,2025-09,Basic,199.0,0.0,No,199.0
U2028,Oct-2025,Premium,999.0,0.0,False,999.0
U1809,Sep-2025,Standard,499.0,0.0,No,
U1778,11/01/2025,basic ,199.0,0.0,False,199.0
U2102,12/01/2025,STANDARD,499.0,10.0,False,449.1
U1597,Sep-2025,Premium,999.0,0.0,False,999.0
U2414,2025-08,premium ,999.0,0.0,False,999.0
U1498,Nov-2025,standard,499.0,0.0,No,499.0
 U1830 ,09/01/2025,Basic,199.0,0.0,0,199.0
U1172,2025-10,standard,499.0,20.0,FALSE,399.2
U1931,2026-01,BASIC,199.0,0.0,No,
U1973,2025-11,basic ,,0.0,0,199.0
U1767,Sep-2025,Standard,499.0,0.0,0,499.0
U2458,11/01/2025,Basic,199.0,0.0,FALSE,199.0
U2243,09/01/2025,STANDARD,,30.0,False,349.3
U1833,12/01/2025,standard,499.0,10.0,0,449.1
U2156,2026-01,Standard,499.0,0.0,False,499.0
U1921,01/01/2026,Basic,199.0,0.0,1,0.0
